id,title,siglum,description,rism,date,century,provenance,provenance_detail,segment,summary,indexing_notes,liturgical_occasions,indexing_date,drupal_path,cursus,image_link,n_cantus_chants,n_cantus_melodies
144,"München, Bayerische Staatsbibliothek, Clm 4304",D-Mbs Clm 4304,,,,16th century (1500-1525),Augsburg,,,,,,,http://cantusdatabase.org/source/123682,Monastic,,,
145,"Trier, Stadtbibliothek Weberbach, 1245 / 597 (original)",D-TRs 1245 / 597 (original),,,,09th century,Prüm,,,,,,,http://cantus.uwaterloo.ca/source/651162,Monastic,,,
146,"Trier, Stadtbibliothek, 1245 / 597 (revised)",D-TRs 1245/597 (rev),,,,09th century,Prüm,,,,,,,http://cantus.uwaterloo.ca/source/662398,Monastic,,,
147,"Vercelli, Biblioteca Capitolare, CLXX",I-VCd CLXX,,,,,Arras,,,,,,,http://cantusdatabase.org/source/123766,Secular,,,
148,"Kraków, Klastor OO. Karmelitów na Piasku (Carmelite Convent), Ms.4 (rkp. Perg. 20)",PL-Kkar 4 (Rkp 20),,,,15th century,Kraków,,,,,,,http://cantusdatabase.org/source/123710,Secular,,,
149,"Ljubljana, Nadškofijski arhiv (Archiepiscopal Archives), 19 (olim 18)",SI-Lna 19 (olim 18),,,,,Kranj,,,,,,,http://cantusdatabase.org/source/123659,Secular,,,
150,"New York, Columbia University - Barnard College Library,  MS 1",US-NYcub Barnard 1,,,,14th century,Italy,,,,,,,http://cantusdatabase.org/source/683940,Secular,,,
151,"New York, Columbia University, Rare Book and Manuscript Library, Plimpton MS 034",US-NYcub Plimpton MS 034,,,,14th century (1350-1375),Franciscan,,,,,,,http://cantusdatabase.org/source/604043,Secular,,,
152,"Missale Mixtum P-Cua (Coimbra) Arquivo Distrital e da Universidade Estante XVI, tab.5, nº 5",P-Cua Estante XVI tab 5 no 5,,,,14th century (2nd quarter),"Coimbra, Catedral",,,,,,,https://pemdatabase.eu/source/46517,Secular,,,
153,F-AN : Ms 0091,F-AN Ms 0091,,,,10th century,Abbaye Saint-Pierre d’Angers (?) puis abbaye Saint-Aubin,,,,,,,http://musmed.eu/source/8452,,,,
154,"Bamberg, Staatsbibliothek, Msc.Lit.25 (olim Ed.IV.11)",D-BAs Msc.Lit.25,,,,13th century,Bamberg,,,,,,,http://cantusdatabase.org/source/123594,Secular,,,
155,"Mainz, Bischöfliches Dom- und Diözesanmuseum, C",D-MZb C,,,,15th century (1425-1450),Mainz,,,,,,,http://cantusdatabase.org/source/123622,Secular,,,
156,"Albi, Bibliothèque municipale Rochegude, 44",F-AI 44,,,,,Albi,,,,,,,http://cantusdatabase.org/source/123679,,,,
157,"London, British Library, Additional Collection, MS. 57337",GB-Lbl Add. 57337,,,,10th century (975-1000),English,,,,,,,http://cantus.uwaterloo.ca/source/673643,Secular,,,
158,"Wrocław, Zakład Narodowy im. Ossolińskich, Biblioteka, Rkp. 12025/IV",PL-WRzno 12025/IV,,,,,Kraków,,,,,,,http://cantusdatabase.org/source/123712,Secular,,,
159,CZ-Pu (Praha) XIII C 4,CZ-Pu XIII C 4,,,,14th century,"Praha, klášter sv. Jiří",,,,,,,http://cantusbohemiae.cz/source/2156,,,,
160,CZ-Pu (Praha) XII C 3,CZ-Pu XII C 3,,,,13th century,St George's Convent in Prague (?),,,,,,,http://cantusbohemiae.cz/source/9136,,,,
161,SK-Bra (Bratislava) Antiphonary of Bratislava I EC Lad.3,SK-Bra BAI ECLad.3,,,,15th century,Bratislava,,,,,,,http://cantus.sk/source/14828,,,,
162,SK-Bra (Bratislava) Antiphonary of Bratislava III EC Lad.6,SK-Bra BAIII ECLad.6,,,,15th century,Buda / Bratislava,,,,,,,http://cantus.sk/source/14018,,,,
163,V-CVbav : Pal.lat.0489,V-CVbav Pal.lat.0489,,,,10th century,Zell,,,,,,,http://musmed.eu/source/14837,,,,
164,"Wien, Diözesanarchiv, C-11",A-Wda C-11,,,,15th century,Kirnberg,,,,,,,http://cantusdatabase.org/source/123645,,,,
