title,siglum,description,rism,date,century,provenance,provenance_detail,segment,summary,indexing_notes,liturgical_occasions,indexing_date,drupal_path,cursus,image_link,n_cantus_chants,n_cantus_melodies
"SK-Brl (Bratislava) Frag. 3","SK-BRl Frag. 3",,,,"15th century",Slovakia,,,,,,,"http://cantus.sk/source/4452",,,,
"Wiesbaden, Hochschul- und Landesbibliothek RheinMain, 2 (Riesencodex), detached lower pastedown (fragment)","D-WI1 2 lower pastedown (fragment)",,,,"12th century","Southern Germany / Austria",,,,,,,"http://cantus.uwaterloo.ca/source/676971",Monastic,,,
"SK-BRsa Antiphonarium Scepusiense Protoc. X Anni 1583-1585","SK-BRsa Spis 1583",,,,"15th century","Slovakia - Spišská Kapitula",,,,,,,"http://cantus.sk/source/13835",,,,
"A-Wn : Cod Ser nova 03645","A-Wn Cod Ser nova 03645",,,,"9th century","Sud-Est Allemagne",,,,,,,"http://musmed.eu/source/15086",,,,
"F-Col_part : Mont-Renaud","F-Col_part Mont-Renaud",,,,"10th century","Noyon, St-Éloi",,,,,,,"http://musmed.eu/source/9475",,,,
"D-W : Cod Guelf Helmst 1008","D-W Cod Guelf Helmst 1008",,,,"11th century","Minden, pour l'usage de l'évêque Siegbert",,,,,,,"http://musmed.eu/source/15154",,,,
"Udine, Biblioteca del Seminario Arcivescovile, Codice 7","I-UDs Codice 7",,,,"14th century",Italy,,,,,,,"http://cantus.uwaterloo.ca/source/674494",Secular,,,
"SK-Bra (Bratislava) Missale of Bratislava I EC Lad. 3","SK-Bra BMI EC Lad.3 EL18",,,,"14th century",Bratislava,,,,,,,"http://cantus.sk/source/16685",,,,
"SK-Sk (Spišska Kapitula) Graduale Scepusiense","SK-Sk Graduale Scepusiense Nr.1",,,,"15th century",Slovakia,,,,,,,"http://cantus.sk/source/6778",,,,
"F-Pn : Lat. 2819","F-Pn Lat. 2819",,,,"11th century","Paris, France",,,,,,,"http://musmed.eu/source/13130",,,,
"D-DS : Hs 0545","D-DS Hs 0545",,,,"14th century","Bombogen (à Wittlich)",,,,,,,"http://musmed.eu/source/9518",,,,
"D-Sl : Cod.Don.653","D-Sl Cod.Don.653",,,,"12th century",Ottobeuren,,,,,,,"http://musmed.eu/source/14405",,,,
"SK-BRsa Antiphonarium Bibliotheca Capituli Posoniensis Manus. 86","SK-BRsa Manus.86",,,,"14th century","Slovakia / Hungary",,,,,,,"http://cantus.sk/source/13891",,,,
"F-CHRm : Ms 0152 (105)","F-CHRm Ms 0152 (105)",,,,"10th century","Chartres, Abbaye Saint-Père",,,,,,,"http://musmed.eu/source/9358",,,,
"New York, Columbia University, Rare Book and Manuscript Library, Western MS 097","US-NYcub Western MS 097",,,,"13th century (1275-1300)",Dominican,,,,,,,"http://cantus.uwaterloo.ca/source/706333",Secular,,,
"SK-BJ (Bardejov) Antiphonarium MMBJ 1805","SK-BJ (Bardejov) MMBJ 1805",,,,"14th century",Hungary,,,,,,,"http://cantus.sk/source/29810",,,,
"SK-MO (Modra) Magistrát mesta Sv. Jur 2761 K.9 Buch der Intabulationen 1705-1766","SK-MO Jur 2761",,,,"14th century",Slovakia,,,,,,,"http://cantus.sk/source/198",,,,
"SK-BRsa Inv.Nr. 184 Zalka antiphonarium","SK-BRsa Palffy 184",,,,"15th century","Oradea - Transylvania",,,,,,,"http://cantus.sk/source/13693",,,,
"PL-Wn  12722 V Graduał opata tynieckiego Mścisława","rps 12722 V",,,,"14th century",Tyniec,,,,,,,"http://cantus.ispan.pl/source/4559",,,,
"PL-WRu I F 411 Cistercian Gradual (Silesia)","I F 411",,,,"13th century","Cistercians, Lubiąż (Silesia) - Cistercians, Kamieniec Ząbkowicki (Silesia)",,,,,,,"http://cantus.ispan.pl/source/13707",,,,
"V-CVbav : Vat.lat.04770","V-CVbav Vat.lat.04770",,,,"11th century","Italie Centrale",,,,,,,"http://musmed.eu/source/29524",,,,
"F-Pn : NAL 01669","F-Pn NAL 01669",,,,"12th century",Gubbio,,,,,,,"http://musmed.eu/source/13547",,,,
"F-Pm : Ms 0384","F-Pm Ms 0384",,,,"11th century","Abbaye royale de Saint-Denis",,,,,,,"http://musmed.eu/source/15589",Monastic,,,
"CH-ROM : Ms. liturg. FiD 5","CH-ROM Ms. liturg. FiD 5",,,,"13th century","Abbaye de Haut-Crêt (?)",,,,,,,"http://musmed.eu/source/97795",,,,
"F-SEm : Ms 018","F-SEm Ms 018",,,,"13th century","Abbaye Sainte-Colombe de Saint-Denis-lès-Sens (?) ou Abbaye Saint-Pierre-le-Vif de Sens (?)",,,,,,,"http://musmed.eu/source/20281",,,,
"PL-KAs 1 Cantatorium de Łask","ms. 1",,,,"16th century",Łask,,,,,,,"http://cantus.ispan.pl/source/14423",,,,
"SK-Lap (Levoča) Antiphonarium MMLE XXII/313","SK-Lap (Levoča) MMLE XXII/313",,,,"16th century",Hungary,,,,,,,"http://cantus.sk/source/29832",,,,
"SK-BJ (Bardejov) Antiphonarium MMBJ 914","SK-BJ (Bardejov) MMBJ 914",,,,"14th century",Hungary,,,,,,,"http://cantus.sk/source/29804",,,,
"CH-BEb : Cod 0348","CH-BEb Cod 0348",,,,"9th century",Fleury,,,,,,,"http://musmed.eu/source/8858",,,,
"D-Sl : Cod.Bibl.fol.065","D-Sl Cod.Bibl.fol.065",,,,"9th century",Allemagne,,,,,,,"http://musmed.eu/source/14387",,,,
"P-Cua (Coimbra) Arquivo Distrital e da Universidade IV-3ª Gav. 44 (03)","P-Cua IV-3ª Gav. 44 (03)",,,,"c. 1100","Coimbra, Colégio de Jesus?",,,,,,,"http://pemdatabase.eu/source/96874",,,,
"SK-KO (Košice) Antiphonarium H III/2 mac 13","SK-KO (Košice) H III/2 mac 13",,,,"15th century","Slovakia (medieval Hungary) Premonstratensians",,,,,,,"http://cantus.sk/source/30728",,,,
"SK-MO (Modra) Magistrát mesta Modry 3121 Kammerrechnung 1669","SK-MO 3121",,,,"15th century","Transylvania-Várad, Zalka antiphonary",,,,,,,"http://cantus.sk/source/160",,,,
"GB-Lbl : Additional 29988","GB-Lbl Additional 29988",,,,"12th century",Roma,,,,,,,"http://musmed.eu/source/29540",Romanum,,,
"PL-SAk 40 Graduał z Sandomierza",40,,,,"14th century",Sandomierz,,,,,,,"http://cantus.ispan.pl/source/26589",,,,
"D-B : Ms mus 40078","D-B Ms mus 40078",,,,"12th century",Quedlinburg,,,,,,,"http://musmed.eu/source/8817",,,,
"F-G : Ms 0084 (Ms. 395 Rés.)","F-G Ms 0084 (Ms. 395 Rés.)",,,,"12th century","à l’usage de la Grande Chartreuse (provenant du monastère des Ecouges ?",,,,,,,"http://musmed.eu/source/10075",,,,
"I-BGc : MA 150 (Psi III.8)","I-BGc MA 150 (Psi III.8)",,,,"12th century","Brescia, sans doute S. Giovanni de Foris (?)",,,,,,,"http://musmed.eu/source/41838",,,,
"A-KN : Cod 0588","A-KN Cod 0588",,,,"13th century",Klosterneuburg,,,,,,,"http://musmed.eu/source/11390",Romanum,,,
"SK-BSa (Banská Štiavnica) Copirbuch No.inv. 630, 1626    ","SK-BSa 630",,,,"15th century",Slovakia,,,,,,,"http://cantus.sk/source/101",,,,
"SK-BJ (Bardejov) Antiphonarium MMBJ 1814","SK-BJ (Bardejov) MMBJ 1814",,,,"16th century",Hungary,,,,,,,"http://cantus.sk/source/29807",,,,
"D-KNd : Ms 1001b","D-KNd Ms 1001b",,,,"13th century","Köln, Minoritenkonvent",,,,,,,"http://musmed.eu/source/11493",,,,
"V-CVbav : Archivio di San Pietro F.15","V-CVbav Archivio di San Pietro F.15",,,,"11th century",Italie,,,,,,,"http://musmed.eu/source/14746",,,,
"A-Gu : Ms 0807","A-Gu Ms 0807",,,,"12th century",Klosterneuburg,,,,,,,"http://musmed.eu/source/10059",Monastic,,,
"V-CVbav : Reg.lat.0342","V-CVbav Reg.lat.0342",,,,"11th century","Nord de la France",,,,,,,"http://musmed.eu/source/96119",,,,
"F-Pa : Ms 1169","F-Pa Ms 1169",,,,"10th century","Cathédrale d’Autun",,,,,,,"http://musmed.eu/source/12857",,,,
"GB-Dru : Cosin V.V.6","GB-Dru Cosin V.V.6",,,,"11th century","Abbaye Christ Church de Cantorbéry",,,,,,,"http://musmed.eu/source/15574",,,,
"I-Bc : Q 09","I-Bc Q 09",,,,"12th century","Italie du Nord (Ravenna ?)",,,,,,,"http://musmed.eu/source/8922",,,,
"SK-TN (Trenčín) MMTN – Kn/I-11","SK-TN MMTN – Kn/I-11",,,,"15th century","Moravia/ Slovakia: Nové Mesto nad Váhom (?)",,,,,,,"http://cantus.sk/source/28776",,,,
"F-Pn : Lat. 2142","F-Pn Lat. 2142",,,,"11th century","Abbaye cistercienne de Bonport (dioc. Evreux) ; Entra en 1732 à la Bibliothèque royale. Anc. cotes : Colbert 2784 ;Regius 4021",,,,,,,"http://musmed.eu/source/13107",Monastic,,,
"SK-PREa (Prešov) Breviarium 2","SK-PREa (Prešov) Zb. ilum. 5 ",,,,"14th century",Hungary,,,,,,,"http://cantus.sk/source/29825",,,,
"I-Rv : C. 0032","I-Rv C. 0032",,,,"11th century",Montecassino,,,,,,,"http://musmed.eu/source/14185",,,,
"D-DS : Hs 2297","D-DS Hs 2297",,,,"11th century","Darmstadt, Germany",,,,,,,"http://musmed.eu/source/9542",,,,
"SK-Bra (Bratislava) EC Lad.2/48","SK-Bra ECLad.2/48",,,,"15th century",Slovakia,,,,,,,"http://cantus.sk/source/10965",,,,
"SK-Brl (Bratislava) Lyc F I 5","SK-BRl Lyc FI5",,,,"15th century",Germany,,,,,,,"http://cantus.sk/source/4986",,,,
"SK-BRsa Antiphonarium Scepusiense Protocol II","SK-BRsa Spis II",,,,"15th century","Slovakia - Spišská Kapitula",,,,,,,"http://cantus.sk/source/13839",,,,
"SK-BRsa Antiphonarium Bibliotheca Capituli Posoniensis Phil. 122","SK-BRsa Phil.122",,,,"15th century","Central Europe/ Poland",,,,,,,"http://cantus.sk/source/13899",,,,
"D-Mbs : Clm 00052","D-Mbs Clm 00052",,,,"9th century",Regensburg,,,,,,,"http://musmed.eu/source/12104",,,,
"D-Mbs : Clm 23621","D-Mbs Clm 23621",,,,"12th century","Italie, zone de Benevento",,,,,,,"http://musmed.eu/source/12375",,,,
"V-CVbav : Reg.lat.0255","V-CVbav Reg.lat.0255",,,,"11th century","Fleury ?",,,,,,,"http://musmed.eu/source/95020",,,,
"SK-BJ (Bardejov) Antiphonarium MMBJ 1133","SK-BJ (Bardejov) MMBJ 1133",,,,"15th century",Hungary,,,,,,,"http://cantus.sk/source/29805",,,,
"SK-BRsa Psalterium Capitulum Posoniensis, Locus credibilis Protoc.Antiqua A","SK-BRsa LC A 1567",,,,"15th century",Bratislava,,,,,,,"http://cantus.sk/source/13905",,,,
"SK-Lap (Levoča) Antiphonarium MMLE XXII/305","SK-Lap (Levoča) MMLE XXII/305",,,,"16th century",Hungary,,,,,,,"http://cantus.sk/source/29830",,,,
"CH-E : Cod 0083","CH-E Cod 0083",,,,"11th century","Einsiedeln, 11. Jh. (1060-1075/1100)",,,,,,,"http://musmed.eu/source/9751",Monastic,,,
"SK-BSa (Banská Štiavnica) Copirbuch No.inv. 610, 59 MMBŠ 16K55 1589-1591 (1696, 1700), škatuľa 17","SK-BSa 610",,,,"15th century",Slovakia,,,,,,,"http://cantus.sk/source/89",,,,
"SK-TN (Trenčín) ZH-A Sine num. sig. (18)","SK-TN ZH-A Sine num. sig.  (18)",,,,"15th century","Slovakia/Central Europe (?)",,,,,,,"http://cantus.sk/source/28830",,,,
"SK-KO (Košice) Antiphonarium H III/2 mac 16","SK-KO (Košice) H III/2 mac 16",,,,"15th century","Slovakia (medieval Hungary) Premonstratensians",,,,,,,"http://cantus.sk/source/30730",,,,
"P-G (Guimarães) Arquivo Municipal Alfredo Pimenta C 1508","P-G C 1508",,,,1547,"Guimarães, Colegiada de Nossa Senhora da Oliveira",,,,,,,"http://pemdatabase.eu/source/49684",,,,
"D-Mbs : Clm 03005","D-Mbs Clm 03005",,,,"9th century","Bavière, Andechs, Abbaye bénédictine d'Andechs",,,,,,,"http://musmed.eu/source/12134",,,,
"SK-MO (Modra) Magistrát mesta Modry 4925 Rechnungen des Kirchenvaters 1610-1615","SK-MO 4925",,,,"15th century",Slovakia,,,,,,,"http://cantus.sk/source/178",,,,
"US-PHf : Lewis T72","US-PHf Lewis T72",,,,"12th century","Italie, zone de Ravenna (?)",,,,,,,"http://musmed.eu/source/98227",,,,
"B-Br : Ms 10127-44","B-Br Ms 10127-44",,,,"9th century","Abbaye du Mont-Blandin (jusqu'en 1566)",,,,,,,"http://musmed.eu/source/9026",,,,
"F-Pn : Lat. 12050","F-Pn Lat. 12050",,,,"9th century",Corbie,,,,,,,"http://musmed.eu/source/13374",,,,
"SK-BJ (Bardejov) Antiphonarium MMBJ 1779","SK-BJ (Bardejov) MMBJ 1779",,,,"14th century",Hungary,,,,,,,"http://cantus.sk/source/29806",,,,
"D-B : Ms Gall. Qu. 048","D-B Ms Gall. Qu. 048",,,,"12th century","Ouest de la France",,,,,,,"http://musmed.eu/source/8810",,,,
"F-Pn : NAL 01890","F-Pn NAL 01890",,,,"12th century","Eglise de la Madeleine de Barbechat (près de Nantes)",,,,,,,"http://musmed.eu/source/13550",,,,
"SK-BEt (Betliar) Slovenské národné múzeum - Múzeum Betliar 3 BREVIARIUM Sign. K0000/07120, HK 07120/I","SK-BEt K0000/07120",,,,"15th century",OFM,,,,,,,"http://cantus.sk/source/29069",,,,
"SK-KO (Košice) Antiphonarium Varadinense H III/2 mac 53","SK-KO (Košice) H III/2 mac 53",,,,"15th century","medieval Hungary (Transylvania, Oradea)",,,,,,,"http://cantus.sk/source/31158",,,,
"F-SEm : Ms 009","F-SEm Ms 009",,,,"12th century",Sens,,,,,,,"http://musmed.eu/source/20187",,,,
"D-Sl : Cod.theol.et.phil.fol.202","D-Sl Cod.theol.et.phil.fol.202",,,,"9th century","Sud de l'Allemagne",,,,,,,"http://musmed.eu/source/14455",,,,
"SK-Lap (Levoča) Antiphonarium MMLE XXII/309","SK-Lap (Levoča) MMLE XXII/309",,,,"16th century",Hungary,,,,,,,"http://cantus.sk/source/29836",,,,
"SK-MO (Modra) Magistrát mesta Modry 3097 II.2.38.292. Kammerrechnung 1645","SK-MO 3097",,,,"15th century",Slovakia,,,,,,,"http://cantus.sk/source/145",,,,
"D-Sl : HB VII 037","D-Sl HB VII 037",,,,"10th century","Constance ?",,,,,,,"http://musmed.eu/source/14470",,,,
"SK-BSa (Banská Štiavnica) Copirbuch No.inv. 608, 57 MMBŠ 16K53 1587-1588, škatuľa 17","SK-BSa 608",,,,"15th century",Slovakia,,,,,,,"http://cantus.sk/source/87",,,,
"SK-BSa (Banská Štiavnica) Wachgeldregister 1595-1596, 98 MMBŠ 16K94, škatuľa 24","SK-BSa 98 16K94",,,,"14th century",Slovakia,,,,,,,"http://cantus.sk/source/116",,,,
"US-Baw : W.0011","US-Baw W.0011",,,,"11th century","Ravenne diocèse",,,,,,,"http://musmed.eu/source/8646",,,,
"SK-BRnm (Bratislava) MUS XVIII 666","SK-BRnm MUS XVIII 666",,,,"14th century",Slovakia,,,,,,,"http://cantus.sk/source/220",,,,
"SK-BEt (Betliar) Slovenské národné múzeum - Múzeum Betliar 12 BREVIARIUM Sign. K0000/11909, HK 11909","SK-BEt  K0000/11909",,,,"15th century","Central Europe (Slovakia)",,,,,,,"http://cantus.sk/source/29078",,,,
"SK-Lap (Levoča) Antiphonarium MMLE XXI/76","SK-Lap (Levoča) MMLE XXI/76",,,,"16th century",Hungary,,,,,,,"http://cantus.sk/source/29834",,,,
"D-DS : Hs 1946","D-DS Hs 1946",,,,"11th century",Echternach,,,,,,,"http://musmed.eu/source/9535",,,,
"GB-Ob : Selden Supra 0027","GB-Ob Selden Supra 0027",,,,"11th century","Bavière,  Diocèse d'Eichstätt,  Heidenheim, Abbaye St Wunibald d'Heidenheim",,,,,,,"http://musmed.eu/source/126992",,,,
"SK-BJ (Bardejov) Breviarium MMBJ 1792","SK-BJ (Bardejov) MMBJ 1792",,,,"14th century",Hungary,,,,,,,"http://cantus.sk/source/29811",,,,
"GB-Ob : Ms Canon. Liturg. 0342","GB-Ob Ms Canon. Liturg. 0342",,,,"13th century","Dalmatia, Ragusa (Dubrovnik), Abbaye Benedictine St Marie de Dubrovnik",,,,,,,"http://musmed.eu/source/119661",,,,
"SK-Bra (Bratislava) EL 8","SK-Bra EL8",,,,"14th century","Slovakia / Hungary",,,,,,,"http://cantus.sk/source/10969",,,,
"SK-KOs (Košice) Antiphonarium V 981 PA","SK-KOs V 981 PA",,,,"15th century",Slovakia ,,,,,,,"http://cantus.sk/source/10447",,,,
"SK-BRnm (Bratislava) MUS I 14","SK-BRnm MUS I 14",,,,"14th century",Slovakia,,,,,,,"http://cantus.sk/source/214",,,,
"SK-TN (Trenčín) ZH-A Sine num.sig. (22)","SK-TN ZH-A Sine num.sig. (22)",,,,"15th century","Slovakia/Central Europe (?) ",,,,,,,"http://cantus.sk/source/28834",,,,
"F-Pn : NAL 01236 (2r-2v ; 179r-180v)","F-Pn NAL 01236 (2r-2v ; 179r-180v)",,,,"11th century",Nevers,,,,,,,"http://musmed.eu/source/158279",Monastic,,,
"SK-MO (Modra) Magistrát mesta Modry 571 Gerichtsprotokolle (Diarum iudiciale civitatis Modor) 1670-1672","SK-MO 571",,,,"15th century","Transylvania-Várad, Zalka antiphonary",,,,,,,"http://cantus.sk/source/139",,,,
"SK-Bra (Bratislava) EC Lad.1/10","SK-Bra ECLad.1/10",,,,"14th century",Germany,,,,,,,"http://cantus.sk/source/10951",,,,
"SK-BRu (Bratislava) Ms 1327","SK-BRu Ms1327",,,,"15th century","Central Europe (Poland)",,,,,,,"http://cantus.sk/source/5615",,,,
"F-SOM : Ms 0252","F-SOM Ms 0252",,,,"11th century",Saint-Bertin,,,,,,,"http://musmed.eu/source/14203",,,,
"F-ME : Ms 0732 bis (Pièce 02)","F-ME Ms 0732 bis (Pièce 02)",,,,"13th century","Est de la France",,,,,,,"http://musmed.eu/source/21673",Romanum,,,
"P-EVp (Évora) Biblioteca Pública Pasta 3, doc. 006","P-EVp Pasta 3, doc. 006",,,,"late 14th cent.","Évora, Catedral",,,,,,,"http://pemdatabase.eu/source/101288",unknown,,,
"V-CVbav : Barb.lat.0631","V-CVbav Barb.lat.0631",,,,"11th century",Montecassino,,,,,,,"http://musmed.eu/source/14761",,,,
"SK-KO (Košice) Antiphonarium H III/1 B. no. 2","SK-KO (Košice)  H III/1 B. no. 2",,,,"15th century","Slovakia (medieval Hungary) Premonstratensians",,,,,,,"http://cantus.sk/source/30723",,,,
"SK-BRsa (Bratislava) Slovenský národný archív - Graduale Nitriensis","SK-BRsa SNA 67",,,,"16th century","Slovakia - Nitra",,,,,,,"http://cantus.sk/source/6776",,,,
"SK-BRsa Antiphonarium Scepusiense Protoc. I 1510 (1632)","SK-BRsa Spis 1510",,,,"15th century","Slovakia - Spišská Kapitula",,,,,,,"http://cantus.sk/source/13840",,,,
"A-KN : Cod 0073","A-KN Cod 0073",,,,"13th century",Klosterneuburg,,,,,,,"http://musmed.eu/source/17327",,,,
"F-ME : Ms 0732 (15)","F-ME Ms 0732 (15)",,,,"11th century",France,,,,,,,"http://musmed.eu/source/21649",,,,
"SK-Lap (Levoča) Antiphonarium MMLE XXII/310","SK-Lap (Levoča) MMLE XXII/310",,,,"16th century",Hungary,,,,,,,"http://cantus.sk/source/29831",,,,
"F-BG : Ms 0036","F-BG Ms 0036",,,,"11th century",France,,,,,,,"http://musmed.eu/source/8956",,,,
"F-LA : Ms 0118","F-LA Ms 0118",,,,"9th century","France, Abbaye royale de Saint-Denis",,,,,,,"http://musmed.eu/source/11594",,,,
"F-RS : Ms 0264","F-RS Ms 0264",,,,"13th century","Reims St Thierry",,,,,,,"http://musmed.eu/source/14067",,,,
"GB-Ccc : Ms 473","GB-Ccc Ms 473",,,,"11th century",Winchester,,,,,,,"http://musmed.eu/source/9130",,,,
"CH-SGs : Cod 0378","CH-SGs Cod 0378",,,,"11th century","St Gallen",,,,,,,"http://musmed.eu/source/14289",,,,
"CH-SGv : VadSlg Ms 0295","CH-SGv VadSlg Ms 0295",,,,"11th century","Kapelle Peter und Paul in Rotmonten bei St.Gallen",,,,,,,"http://musmed.eu/source/14258",,,,
"SK-KOs (Košice) Antiphonarium R 246 PA","SK-KOs R 246 PA",,,,"15th century",Bohemia,,,,,,,"http://cantus.sk/source/10448",,,,
"SK-TN (Trenčín) MMTN – Kn/I-27","SK-TN MMTN – Kn/I-27",,,,"15th century","Moravia/ Slovakia: Nové Mesto nad Váhom (?)",,,,,,,"http://cantus.sk/source/28827",,,,
"F-LG : Ms 0002 (17)","F-LG Ms 0002 (17)",,,,"13th century","Chapitre de Saint Julien (Limoges)",,,,,,,"http://musmed.eu/source/11655",,,,
"SK-BSa (Banská Štiavnica) Copirbuch No.inv. 612, 61 MMBŠ 16K57 1593-1595, škatuľa 18","SK-BSa 612",,,,"15th century",Slovakia,,,,,,,"http://cantus.sk/source/90",,,,
"SK-BRnm (Bratislava) MUS I 79","SK-BRnm MUS I 79",,,,"16th century",Slovakia,,,,,,,"http://cantus.sk/source/216",,,,
"SK-TN (Trenčín) MMTN – Kn/I-14","SK-TN MMTN – Kn/I-14",,,,"15th century","Moravia/ Slovakia: Nové Mesto nad Váhom (?)",,,,,,,"http://cantus.sk/source/28779",,,,
"D-Mbs : Clm 14615","D-Mbs Clm 14615",,,,"11th century","München, Germany",,,,,,,"http://musmed.eu/source/12286",,,,
"SK-BRnm (Bratislava) Cantionae sacrae","SK-BRnm MUS I 92",,,,"17th century","Slovensko - Bratislava",,,,,,,"http://cantus.sk/source/22967",,,,
"SK-Bra (Bratislava) EC Lad.2/49","SK-Bra ECLad.2/49",,,,"15th century",Slovakia,,,,,,,"http://cantus.sk/source/10966",,,,
"F-Pn : Lat. 18010","F-Pn Lat. 18010",,,,"11th century","Abbaye Saint-Corneille de Compiègne",,,,,,,"http://musmed.eu/source/13514",,,,
"D-BAa : Msc Lit 007","D-BAa Msc Lit 007",,,,"11th century","Seeon (Haute-Bavière)",,,,,,,"http://musmed.eu/source/8678",,,,
"F-AS : Ms 0437 (cat. 1011)","F-AS Ms 0437 (cat. 1011)",,,,"13th century","St Vaast d'Arras",,,,,,,"http://musmed.eu/source/8481",,,,
"SK-KO (Košice) Antiphonarium H III/2 mac 14","SK-KO (Košice) H III/2 mac 14",,,,"15th century","Slovakia (medieval Hungary) Premonstratensians",,,,,,,"http://cantus.sk/source/30729",,,,
"F-Pn : Lat. 8883","F-Pn Lat. 8883",,,,"11th century","Abbaye de Marmoutier (dioc. de Tours)",,,,,,,"http://musmed.eu/source/13268",,,,
"SK-TN (Trenčín) MMTN – Kn/I-16","SK-TN MMTN – Kn/I-16",,,,"15th century","Moravia/ Slovakia: Nové Mesto nad Váhom (?)",,,,,,,"http://cantus.sk/source/28782",,,,
"F-AUT : Ms S 0037 (33)","F-AUT Ms S 0037 (33)",,,,"10th century",France,,,,,,,"http://musmed.eu/source/8587",,,,
"F-ME : Ms 0349","F-ME Ms 0349",,,,"10th century","Abbaye Saint-Arnould",,,,,,,"http://musmed.eu/source/21626",,,,
"SK-MO (Modra) Magistrát mesta Modry 3117 II.3.58.312. Kammerrechnung 1665","SK-MO 3117",,,,"15th century",Slovakia,,,,,,,"http://cantus.sk/source/156",,,,
"SK-MO (Modra) Magistrát mesta Modry 5196 Register der Abgaben für das Winzerrecht 1676","SK-MO 5196",,,,"15th century","Transylvania-Várad, Zalka antiphonary",,,,,,,"http://cantus.sk/source/193",,,,
"V-CVbav : Pal.lat.0295","V-CVbav Pal.lat.0295",,,,"12th century","Allemagne ?",,,,,,,"http://musmed.eu/source/14828",,,,
"F-Pn : Lat. 8922","F-Pn Lat. 8922",,,,"12th century","Abbaye d’Echternach",,,,,,,"http://musmed.eu/source/13274",,,,
"F-O : Ms 150","F-O Ms 150",,,,"12th century","Abbaye de Fleury",,,,,,,"http://musmed.eu/source/12672",,,,
"P-Cug (Coimbra) Biblioteca Geral da Universidade MM 0045","P-Cug MM 0045",,,,"late 15th century","Coimbra, Mosteiro de São Marcos?",,,,,,,"http://pemdatabase.eu/source/46513",Secular,,,
"I-FROas : Collezione delle permamene 82 (99)","I-FROas Collezione delle permamene 82 (99)",,,,"12th century",Italie,,,,,,,"http://musmed.eu/source/15487",,,,
"Montréal, McGill University - Rare Books and Special Collections - Manuscript Collection, MS Medieval 0072 (fragment)","CDN-Mlr MS Medieval 0072 (fragment)",,,,"15th century",Italy,,,,,,,"http://cantus.uwaterloo.ca/source/693510",,,,
"An Antiphonal from the parish at Santa Maria sopra Porta-- Stanford Libraries, Department of Special Collections: Manuscript Collection: M2223, Item 42","US-STu M2223, Item 42",,,,"15th century (1425-1450)",Italy,,,,,,,"http://cantus.uwaterloo.ca/source/693859",,,,
"SK-BRnm (Bratislava) MUS I 4","SK-BRnm MUS I 4",,,,"14th century",Slovakia,,,,,,,"http://cantus.sk/source/205",,,,
"SK-MO (Modra) Magistrát mesta Modry 741 V. 156.1237. Strafgerichtsordnung 1656","SK-MO 741",,,,"15th century","Transylvania-Várad, Zalka antiphonary",,,,,,,"http://cantus.sk/source/142",,,,
"SK-MO (Modra) Magistrát mesta Modry 5189 Register der Abgaben für das Winzerrecht 1669","SK-MO 5189",,,,"15th century","Transylvania-Várad, Zalka antiphonary",,,,,,,"http://cantus.sk/source/187",,,,
"P-G (Guimarães) Arquivo Municipal Alfredo Pimenta C 0192","P-G C 0192",,,,"15th cent.","Guimarães, Colegiada de Nossa Senhora da Oliveira",,,,,,,"http://pemdatabase.eu/source/47402",unknown,,,
"I-Bc : Q 03 (Fr 022)","I-Bc Q 03 (Fr 022)",,,,"12th century","Italie centrale",,,,,,,"http://musmed.eu/source/33184",,,,
"NL-Uu : Hs. 0415","NL-Uu Hs. 0415",,,,"15th century",Maastricht,,,,,,,"http://musmed.eu/source/15626",,,,
"SK-MO (Modra) Magistrát mesta Modry 5197 Register der Abgaben für das Winzerrecht 1677","SK-MO 5197",,,,"15th century","Transylvania-Várad, Zalka antiphonary",,,,,,,"http://cantus.sk/source/194",,,,
"SK-BRnm (Bratislava) MUS I 1","SK-BRnm MUS I 1",,,,"15th century",Slovakia,,,,,,,"http://cantus.sk/source/202",,,,
"SK-BRsa Lad. XV.Fasc.8, nr. 2","SK-BRsa Erdődy XV 8 2",,,,"16th century","Central Europe",,,,,,,"http://cantus.sk/source/13689",,,,
"SK-BSa (Banská Štiavnica) Protocollum No.inv.581 1561","SK-BSa 581",,,,"14th century",Slovakia,,,,,,,"http://cantus.sk/source/80",,,,
"SK-MO (Modra) Magistrát mesta Sv. Jur 5991 Inventar des Stadtweins 1612-1644","SK-MO Jur 5991",,,,"15th century",Slovakia,,,,,,,"http://cantus.sk/source/201",,,,
"SK-MO (Modra) Magistrát mesta Sv. Jur 5421 Waisenrechnungen 1637-1638","SK-MO Jur 5421",,,,"15th century",Slovakia,,,,,,,"http://cantus.sk/source/200",,,,
"SK-BRu (Bratislava) Ms 1316","SK-BRu Ms1316",,,,"13th century","Central Europe",,,,,,,"http://cantus.sk/source/5610",,,,
"SK-PREa (Prešov) Antiphonarium 1","SK-PREa (Prešov) Zb. ilum. 1 ",,,,"15th century",Hungary,,,,,,,"http://cantus.sk/source/29821",,,,
"SK-Lap (Levoča) Antiphonarium MMLE XXII/312","SK-Lap (Levoča) MMLE XXII/312",,,,"16th century",Hungary,,,,,,,"http://cantus.sk/source/29835",,,,
"SK-BRnm (Bratislava) D.2/2005","SK-BRnm D 2 2005",,,,"15th century",Slovakia,,,,,,,"http://cantus.sk/source/219",,,,
